# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Mon, 5 Aug 2013 16:14:12 BST
# Ring energy: 3.00092 GeV
# Initial ring current: 300.83517 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.12005 mm; horizontal gap= 0.80017 mm; vertical offset= 0.02498 mm; horizontal offset= 0.00002 mm
# Secondary slits:  vertical gap= 2.99900 mm; horizontal gap= 23.49900 mm; vertical offset= -0.00050 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 1.50000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.64000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -7.92 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 2 uA/V Offsets: 20 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 500 nA/V Offsets: 2 nA
# Atn5 (Xia) filters: Al 0.2 mm In Al 0.5 mm Out Al 1.0 mm Out Al 3.0 mm Out
# Sample stage: x: 0.00 mm y: 15.80 mm z: 4.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Cu_foil_34819_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-3/Cu_K_edge/nexus/34819_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Rh_foil
# Sample description: Rhodium foil from BM29
##
#
#
# Dark current intensity was collected over 1.00s. Average counts per second: I0 1047.00   It 416.00   Iref 235.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
23037.6067	-0.51886
23042.5478	-0.52078
23047.1007	-0.52094
23051.5252	-0.52107
23055.691	-0.52123
23059.5979	-0.52139
23063.3757	-0.52153
23066.7638	-0.52165
23069.8922	-0.52174
23072.891	-0.52179
23075.6297	-0.52185
23078.1082	-0.5219
23080.3262	-0.52194
23082.4141	-0.52196
23084.1109	-0.52196
23085.6773	-0.52194
23086.9828	-0.522
23088.0273	-0.52202
23088.8108	-0.52206
23089.3331	-0.52199
23089.5943	-0.52199
23089.9861	-0.52201
23090.2473	-0.52202
23090.5085	-0.52202
23090.7697	-0.52202
23091.1615	-0.52194
23091.4227	-0.522
23091.6839	-0.522
23092.0758	-0.52192
23092.337	-0.52202
23092.5983	-0.52199
23092.9901	-0.52196
23093.2514	-0.52206
23093.5127	-0.52197
23093.7739	-0.522
23094.1658	-0.52199
23094.4271	-0.52202
23094.6884	-0.52203
23095.0804	-0.52198
23095.3417	-0.522
23095.603	-0.52202
23095.8643	-0.52204
23096.2563	-0.52204
23096.5176	-0.52202
23096.779	-0.52198
23097.171	-0.52197
23097.4323	-0.52197
23097.6937	-0.52197
23098.0857	-0.52202
23098.3471	-0.52204
23098.6085	-0.52197
23098.8699	-0.52195
23099.262	-0.52201
23099.5234	-0.52195
23099.7848	-0.52197
23100.1769	-0.52199
23100.4383	-0.52198
23100.6998	-0.52203
23101.0919	-0.52192
23101.3534	-0.52191
23101.6148	-0.52191
23101.8763	-0.52197
23102.2684	-0.52186
23102.5299	-0.52194
23102.7914	-0.52196
23103.1836	-0.52189
23103.4451	-0.52187
23103.7066	-0.52189
23103.9681	-0.52192
23104.3604	-0.5219
23104.6219	-0.52192
23104.8834	-0.52189
23105.2757	-0.52186
23105.5372	-0.52185
23105.7988	-0.52189
23106.1911	-0.52183
23106.4527	-0.52188
23106.7142	-0.5219
23106.9758	-0.52183
23107.3682	-0.5218
23107.6298	-0.52182
23107.8913	-0.52184
23108.2837	-0.5218
