# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Mon, 5 Aug 2013 16:14:12 BST
# Ring energy: 3.00092 GeV
# Initial ring current: 300.83517 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.12005 mm; horizontal gap= 0.80017 mm; vertical offset= 0.02498 mm; horizontal offset= 0.00002 mm
# Secondary slits:  vertical gap= 2.99900 mm; horizontal gap= 23.49900 mm; vertical offset= -0.00050 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 1.50000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.64000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -7.92 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 2 uA/V Offsets: 20 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 500 nA/V Offsets: 2 nA
# Atn5 (Xia) filters: Al 0.2 mm In Al 0.5 mm Out Al 1.0 mm Out Al 3.0 mm Out
# Sample stage: x: 0.00 mm y: 15.80 mm z: 4.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Cu_foil_34819_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-3/Cu_K_edge/nexus/34819_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Ru_foil
# Sample description: Ruthenium metal pellet from B18 ref wheel, merge of 6 spectra
##
#
#
# Dark current intensity was collected over 1.00s. Average counts per second: I0 1047.00   It 416.00   Iref 235.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
21914.43	0.37114167
21914.91	0.37129833
21915.38	0.37145783
21915.85	0.37130667
21916.32	0.371424
21916.79	0.37164283
21917.26	0.371126
21917.73	0.3706755
21918.2	0.370871
21918.67	0.37057233
21919.14	0.3707455
21919.61	0.370926
21920.08	0.3709315
21920.55	0.37081567
21921.02	0.37074667
21921.49	0.37093867
21921.96	0.3706005
21922.43	0.37112483
21922.9	0.37039583
21923.38	0.371069
21923.85	0.37064867
21924.32	0.37070667
21924.79	0.370311
21925.26	0.370216
21925.73	0.370158
21926.2	0.36976083
21926.67	0.3698775
21927.14	0.36941917
21927.61	0.369681
21928.08	0.36985717
21928.56	0.36995383
21929.03	0.36997967
21929.5	0.36975167
21929.97	0.3697895
21930.44	0.36964533
21930.91	0.36981667
21931.38	0.36956983
21931.85	0.36947917
21932.32	0.36969267
21932.79	0.36917833
21933.27	0.36953967
21933.74	0.36946617
21934.21	0.36948567
21934.68	0.36931483
21935.15	0.36924817
21935.62	0.370032
21936.09	0.3699715
21936.56	0.36995517
21937.04	0.3697575
21937.51	0.36940467
21937.98	0.36938033
21938.45	0.36884433
21938.92	0.3694645
21939.39	0.36891883
21939.86	0.36938383
21940.34	0.3685795
21940.81	0.36922983
21941.28	0.36874717
21941.75	0.369067
21942.22	0.36851317
21942.69	0.36851317
21943.17	0.36862517
21943.64	0.3685035
21944.11	0.36841883
21944.58	0.36879833
21945.05	0.36873617
21945.52	0.36862933
21946	0.3690175
21946.47	0.368576
21946.94	0.3688275
21947.41	0.36881033
21947.88	0.36897833
21948.35	0.3684265
21948.83	0.36856533
21949.3	0.36815083
21949.77	0.368313
21950.24	0.368701
21950.71	0.3676855
21951.19	0.36829017
21951.66	0.3681225
21952.13	0.3679125
21952.6	0.36763267
21953.07	0.36817567
21953.55	0.36754617
21954.02	0.367746
21954.49	0.36788367
21954.96	0.36815133
21955.43	0.3678895
21955.91	0.36812867
21956.38	0.367618
21956.85	0.36758583
21957.32	0.3681825
21957.8	0.3679955
21958.27	0.3676085
21958.74	0.36796167
21959.21	0.36808733
21959.69	0.367636
21960.16	0.3679615
21960.63	0.367985
21961.1	0.36783833
21961.57	0.36747467
21962.05	0.36787467
21962.52	0.36736667
21962.99	0.3674485
21963.46	0.36716783
21963.94	0.36727917
21964.41	0.36712267
21964.88	0.3670075
21965.35	0.3674155
21965.83	0.367234
21966.3	0.3676235
21966.77	0.36681467
21967.25	0.3673325
21967.72	0.36728917
21968.19	0.367084
21968.66	0.36724433
21969.14	0.36694483
21969.61	0.36723517
21970.08	0.36751483
21970.55	0.36737617
21971.03	0.36725367
21971.5	0.3672335
21971.97	0.3672435
21972.45	0.3665585
21972.92	0.36632283
21973.39	0.367009
21973.87	0.36681217
21974.34	0.36702833
21974.81	0.36680117
21975.28	0.36672417
21975.76	0.3669645
21976.23	0.366389
21976.7	0.36678667
21977.18	0.36678467
21977.65	0.3666455
21978.12	0.36641783
21978.6	0.36623067
21979.07	0.3664055
21979.54	0.36629133
21980.02	0.36648217
21980.49	0.36647467
21980.96	0.36600633
21981.44	0.36642133
21981.91	0.36620817
21982.38	0.3667755
21982.86	0.36610783
21983.33	0.36627783
21983.8	0.3661275
21984.28	0.36627267
21984.75	0.36615067
21985.22	0.36605817
21985.7	0.36642017
21986.17	0.3662635
21986.64	0.36590033
21987.12	0.3661555
21987.59	0.36645417
21988.06	0.36655983
21988.54	0.36617167
21989.01	0.36584833
21989.48	0.36578117
21989.96	0.36591733
21990.43	0.36554067
21990.91	0.36551083
21991.38	0.36578833
21991.85	0.36557133
21992.33	0.36556883
21992.8	0.36529633
21993.27	0.36530817
21993.75	0.36521667
21994.22	0.36577867
21994.7	0.36591883
21995.17	0.365793
21995.64	0.365862
21996.12	0.36580583
21996.59	0.36582783
21997.07	0.3655905
21997.54	0.36543283
21998.01	0.36567617
21998.49	0.365667
21998.96	0.3653905
21999.44	0.36565083
21999.91	0.36540517
22000.38	0.365576
22000.86	0.365432
22001.33	0.365622
22001.81	0.3651
22002.28	0.36567367
22002.75	0.36575667
22003.23	0.365202
22003.7	0.3651175
22004.18	0.36555433
22004.65	0.36593033
22005.13	0.3656455
22005.6	0.36541283
22006.07	0.36545583
22006.55	0.36521133
22007.02	0.36523683
22007.5	0.365054
22007.97	0.36508917
22008.45	0.36494367
22008.92	0.36533233
22009.4	0.36527033
22009.87	0.36573533
22010.34	0.3651935
22010.82	0.36565417
22011.29	0.364969
22011.77	0.364939
22012.24	0.365105
22012.72	0.36513383
22013.19	0.36487983
22013.67	0.36520767
22014.14	0.36529733
22014.62	0.365124
22015.09	0.36508
22015.57	0.36439367
22016.04	0.36446033
22016.52	0.36519683
22016.99	0.3649055
22017.47	0.3650365
22017.94	0.36479883
22018.42	0.36508533
22018.89	0.3649695
22019.37	0.36491717
22019.84	0.36527333
22020.32	0.36470567
22020.79	0.36501267
22021.27	0.36515983
22021.74	0.36512683
22022.22	0.365108
22022.69	0.36439717
22023.17	0.3645115
22023.64	0.36496517
22024.12	0.364332
