# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Fri, 12 Jul 2013 11:59:02 BST
# Ring energy: 3.00092 GeV
# Initial ring current: 298.46277 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.11999 mm; horizontal gap= 0.80009 mm; vertical offset= 0.02500 mm; horizontal offset= 0.00001 mm
# Secondary slits:  vertical gap= 2.99900 mm; horizontal gap= 23.49900 mm; vertical offset= -0.00050 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 1.20000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.85000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -7.92 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 2 uA/V Offsets: 20 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 nA
# Atn5 (Xia) filters: 0.5mm C Out 1.0mm C Out 2.0mm C Out 4.0mm C In
# Sample stage: x: 0.00 mm y: 20.00 mm z: 0.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Ta_foil_33826_1.dat'
# Nexus output file: '/dls/i20/data/2013/sp6922-1/Ta_L3edge/nexus/33826_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Ta_foil
# Sample description: Ta foil
##
#
#
# Dark current intensity was collected over 3.00s. Average counts per second: I0 1075.33   It 423.00   Iref 242.33
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
9699.9990	-0.21366
9705.0000	-0.21637
9710.0030	-0.21958
9715.0030	-0.22245
9720.0000	-0.22551
9725.0010	-0.22832
9730.0010	-0.23112
9735.0020	-0.23402
9740.0020	-0.23696
9745.0010	-0.23992
9750.0010	-0.24243
9754.9960	-0.24509
9759.9950	-0.24778
9765.0020	-0.25064
9769.9990	-0.25321
9775.0030	-0.25566
9780.0000	-0.25839
9785.0020	-0.26121
9789.9990	-0.26388
9794.9980	-0.26584
9800.0000	-0.26827
9804.9990	-0.27048
9809.7810	-0.27264
9814.1270	-0.27422
9818.0510	-0.27565
9821.5730	-0.27664
9824.6990	-0.27736
9827.4460	-0.27784
9829.8230	-0.27802
9831.8440	-0.27832
9833.5250	-0.27846
9834.8720	-0.27842
9835.9070	-0.27828
9836.6390	-0.27831
9837.0800	-0.27832
9837.3790	-0.27823
9837.6800	-0.27812
9837.9770	-0.27821
9838.2820	-0.27819
9838.5830	-0.27806
9838.8790	-0.27797
9839.1810	-0.27785
9839.4790	-0.27776
9839.7800	-0.27765
9840.0770	-0.27752
9840.3760	-0.27764
9840.6800	-0.27761
9840.9800	-0.27741
9841.2780	-0.27728
9841.5810	-0.27710
9841.8810	-0.27716
9842.1810	-0.27709
9842.4800	-0.27689
9842.7810	-0.27670
9843.0800	-0.27644
9843.3780	-0.27609
9843.6810	-0.27598
9843.9800	-0.27594
9844.2810	-0.27591
9844.5850	-0.27544
9844.8820	-0.27549
9845.1810	-0.27541
9845.4820	-0.27516
9845.7830	-0.27493
9846.0770	-0.27479
9846.3790	-0.27461
9846.6790	-0.27420
9846.9780	-0.27413
9847.2790	-0.27372
9847.5820	-0.27361
9847.8790	-0.27344
9848.1800	-0.27322
9848.4800	-0.27245
9848.7810	-0.27223
9849.0830	-0.27209
9849.3780	-0.27158
9849.6780	-0.27134
9849.9780	-0.27088
9850.2800	-0.27066
9850.5810	-0.27034
9850.8780	-0.26984
9851.1800	-0.26951
9851.4800	-0.26893
9851.7800	-0.26847
9852.0810	-0.26823
9852.3810	-0.26767
9852.6810	-0.26714
9852.9810	-0.26651
9853.2820	-0.26607
9853.5790	-0.26529
9853.8800	-0.26493
9854.1810	-0.26439
9854.4820	-0.26371
9854.7790	-0.26312
9855.0820	-0.26254
9855.3770	-0.26172
9855.6810	-0.26087
9855.9780	-0.26004
9856.2810	-0.25921
9856.5760	-0.25854
9856.8800	-0.25765
9857.1810	-0.25686
9857.4840	-0.25588
9857.7830	-0.25484
9858.0810	-0.25380
9858.3830	-0.25288
9858.6820	-0.25165
9858.9820	-0.25060
9859.2770	-0.24925
9859.5780	-0.24797
9859.8830	-0.24682
9860.1800	-0.24537
9860.4770	-0.24392
9860.7790	-0.24260
9861.0820	-0.24104
9861.3790	-0.23949
9861.6810	-0.23792
9861.9780	-0.23602
9862.2790	-0.23413
9862.5770	-0.23225
9862.8820	-0.23031
9863.1790	-0.22836
9863.4810	-0.22624
9863.7770	-0.22386
9864.0820	-0.22131
9864.3800	-0.21875
9864.6780	-0.21607
9864.9800	-0.21339
9865.2810	-0.21039
9865.5800	-0.20740
