# DIAMOND LIGHT SOURCE
# Instrument: I20-XAS Date: Tue, 6 Aug 2013 07:41:54 BST
# Ring energy: 3.00089 GeV
# Initial ring current: 302.18569 mA
# Filling mode: Standby
# Wiggler gap selected: 20.00000 mm
#  
# Primary slits:  vertical gap= 0.12002 mm; horizontal gap= 0.80017 mm; vertical offset= 0.02499 mm; horizontal offset= 0.00002 mm
# Secondary slits:  vertical gap= 2.99900 mm; horizontal gap= 23.49900 mm; vertical offset= -0.00050 mm; horizontal offset= 0.25950 mm
# Experimental slits:  vertical gap= 1.50000 mm; horizontal gap= 4.99996 mm; vertical offset= 0.64000 mm; horizontal offset= 0.00008 mm
#  
# Optic Hutch Mirrors Coating: Rhodium
# Monochromator crystal cut: Si(111)
# Incident angle for Harmonic Rejection Mirrors: -7.92 mrad
# Harmonic rejection mirrors coating: Rhodium
# I0 Stanford sensitivity: 500 nA/V Offsets: 2 nA
# It Stanford sensitivity: 2 uA/V Offsets: 10 nA
# Iref Stanford sensitivity: 500 nA/V Offsets: 2 nA
# Atn5 (Xia) filters: Al 0.2 mm Out Al 0.5 mm In Al 1.0 mm Out Al 3.0 mm Out
# Sample stage: x: 0.00 mm y: 15.80 mm z: 4.00 mm rot: -0.00 deg roll: 0.00 deg pitch: 0.00 deg
#
# Ascii output file name: 'Zn_foil_34833_1.dat'
# Nexus output file: '/dls/i20/data/2013/cm5945-3/Reference_foils/nexus/34833_1.nxs'
# The XML files, ScanParameters, SampleParameters, DetectorParameters, OutputParameters
# are stored in the nexus file.
#
# Sample name: Zn_foil
# Sample description: Zn foil
##
#
#
# Dark current intensity was collected over 1.00s. Average counts per second: I0 528.00   It 614.00   Iref 328.00
# Dark current has been automatically removed from counts in main scan (I0,It,Iref)
#
# Energy	lnI0It          	
9499.9970	0.16772
9505.0020	0.16544
9510.0000	0.1631
9514.9980	0.16081
9520.0030	0.15849
9525.0010	0.15619
9530.0000	0.15394
9535.0010	0.15167
9540.0020	0.14944
9545.0020	0.14709
9550.0010	0.14483
9555.0000	0.14259
9559.9990	0.14033
9565.0000	0.13813
9570.0020	0.13595
9575.0020	0.13376
9580.0000	0.13168
9585.0020	0.12949
9589.9970	0.1274
9595.0000	0.12533
9600.0010	0.12325
9605.0020	0.12121
9609.7790	0.11935
9614.1240	0.11769
9618.0420	0.11626
9621.5240	0.11509
9624.5750	0.11411
9627.1950	0.11336
9629.3900	0.11274
9631.1640	0.11235
9632.5130	0.11204
9633.4410	0.11184
9633.9500	0.1118
9634.2490	0.11174
9634.5490	0.1117
9634.8480	0.11163
9635.1470	0.1116
9635.4520	0.11158
9635.7500	0.11155
9636.0510	0.11149
9636.3490	0.11148
9636.6520	0.11144
9636.9530	0.11139
9637.2510	0.11136
9637.5470	0.11133
9637.8520	0.11132
9638.1500	0.1113
9638.4490	0.11135
9638.7530	0.1113
9639.0470	0.1113
9639.3510	0.1113
9639.6520	0.11129
9639.9480	0.11134
9640.2540	0.11135
9640.5510	0.1114
9640.8500	0.1114
9641.1550	0.11142
9641.4510	0.11148
9641.7500	0.11149
9642.0500	0.11157
9642.3480	0.1116
9642.6510	0.11165
9642.9500	0.11173
9643.2490	0.11183
9643.5500	0.11187
9643.8550	0.11198
9644.1470	0.11209
9644.4500	0.11216
9644.7490	0.11231
9645.0510	0.11245
9645.3500	0.11259
9645.6510	0.11276
9645.9480	0.1129
9646.2490	0.1131
9646.5480	0.1133
9646.8510	0.1135
9647.1500	0.11375
9647.4520	0.11398
9647.7490	0.11427
9648.0500	0.11457
9648.3490	0.11489
9648.6500	0.11525
9648.9530	0.11561
9649.2510	0.11599
9649.5540	0.11646
9649.8510	0.11695
9650.1510	0.11743
9650.4490	0.11798
9650.7500	0.11859
9651.0490	0.11926
9651.3470	0.11994
9651.6530	0.12076
9651.9500	0.12159
9652.2490	0.12256
9652.5530	0.1236
9652.8510	0.12474
9653.1460	0.12603
9653.4500	0.12744
9653.7510	0.12897
9654.0540	0.13076
9654.3510	0.13276
9654.6450	0.13502
9654.9510	0.13765
9655.2520	0.14063
9655.5470	0.14417
9655.8500	0.14827
9656.1490	0.15323
9656.4500	0.15918
9656.7510	0.16662
9657.0510	0.17602
9657.3510	0.18826
9657.6510	0.20455
9657.9480	0.2269
9658.2520	0.25811
9658.5470	0.30075
9658.8510	0.35422
9659.1500	0.41387
9659.4490	0.47245
9659.7510	0.52474
9660.0490	0.56996
9660.3510	0.60996
9660.6500	0.64606
9660.9490	0.67818
9661.2490	0.70636
9661.5480	0.73106
9661.8510	0.75241
9662.1490	0.77034
9662.4490	0.78481
9662.7500	0.79601
9663.0500	0.80469
9663.3460	0.81221
9663.6510	0.82022
9663.9500	0.82985
9664.2520	0.84159
9664.5520	0.85539
9664.8500	0.87067
9665.1490	0.88689
9665.4520	0.90314
9665.7510	0.91876
9666.0500	0.93348
9666.3520	0.94726
9666.6490	0.96018
9666.9510	0.97241
9667.2530	0.98398
9667.5500	0.99484
9667.8490	1.0048
9668.1510	1.01364
9668.4450	1.02093
9668.7500	1.02618
9669.0520	1.02848
9669.3500	1.02738
9669.6500	1.02225
9669.9510	1.01257
9670.2510	0.99877
9670.5500	0.98181
9670.8520	0.96285
9671.1510	0.94348
9671.4490	0.92476
9671.7520	0.90725
9672.0510	0.89181
9672.3490	0.87894
9672.6530	0.86851
9672.9510	0.86033
9673.2510	0.85395
9673.5510	0.84886
9673.8490	0.84468
9674.1500	0.84138
9674.4510	0.83885
9674.7490	0.83706
9675.0490	0.83609
9675.3460	0.83578
9675.6480	0.83597
9675.9510	0.83642
9676.2490	0.83701
9676.5500	0.83739
9676.8510	0.83736
9677.1510	0.83673
9677.4500	0.8354
9677.7540	0.83343
9678.0510	0.83071
9678.3490	0.82742
9678.6530	0.82338
9678.9510	0.81893
9679.2510	0.8142
9679.5520	0.80923
9679.8490	0.80419
9680.1500	0.79929
9680.4490	0.79469
9680.7490	0.79066
9681.0480	0.7871
9681.3510	0.78418
9681.6530	0.78186
9681.9490	0.78003
9682.2480	0.77859
9682.5500	0.7775
9682.8490	0.77674
9683.1520	0.77617
9683.4500	0.77586
9683.7460	0.77574
9684.0540	0.77588
9684.3600	0.77632
9684.6870	0.77706
9685.0430	0.77826
9685.4230	0.78001
9685.8290	0.78225
9686.2650	0.78513
9686.7290	0.78866
9687.2290	0.79289
9687.7660	0.79787
9688.3420	0.80365
9688.9600	0.81017
9689.6020	0.81729
9690.2520	0.82475
9690.9120	0.83235
9691.5800	0.83997
9692.2470	0.84714
9692.9270	0.85364
9693.6140	0.85906
9694.3060	0.86344
9695.0030	0.86658
9695.7140	0.86879
9696.4230	0.86983
9697.1450	0.87007
9697.8720	0.86955
9698.6040	0.86833
9699.3470	0.86601
9700.0910	0.86225
9700.8480	0.85721
9701.6100	0.85128
9702.3730	0.84523
9703.1510	0.84005
9703.9320	0.83574
9704.7220	0.83226
9705.5140	0.82934
9706.3180	0.82694
9707.1300	0.8252
9707.9430	0.82444
9708.7680	0.82487
9709.5970	0.82637
9710.4320	0.82874
9711.2750	0.8314
9712.1260	0.83426
9712.9830	0.83659
9713.8480	0.83819
9714.7150	0.8388
9715.5950	0.83839
9716.4820	0.83719
9717.3730	0.83561
9718.2710	0.83403
9719.1740	0.83264
9720.0840	0.83165
9721.0040	0.83089
9721.9280	0.83031
9722.8610	0.82985
9723.8020	0.82966
9724.7490	0.82993
9725.7030	0.83083
9726.6600	0.83212
9727.6270	0.83387
9728.6000	0.83598
9729.5810	0.83856
9730.5700	0.84157
9731.5630	0.84467
9732.5640	0.84783
