energy,divergence
eV,µrad
250,845.472359120434
300,805.996107304292
350,776.571140122003
400,753.748959323278
450,735.508950712367
500,720.584592463421
550,708.139839086207
600,697.59964332859
650,688.555005803446
700,680.706814798069
750,673.831113743404
800,667.756802075277
850,662.35085545349
900,657.508257108869
950,653.144972492359
1000,649.192943064831
1050,645.596451657882
1100,642.309439233037
1150,639.293494065997
1200,636.51632427097
1250,633.950583098617
1300,631.572955315402
1350,629.363439274786
1400,627.304777387838
1450,625.382000344607
1500,623.582059396898
