Energy,Divergence_VPG1,Divergence_VPG2,Divergence_VPG3
eV,µrad,µrad,µrad
250,1450.11176587835,2175.16764881752,3625.27941469587
300,1324.39570345032,1986.59355517548,3310.9892586258
350,1226.73591779846,1840.10387669769,3066.83979449616
400,1148.05217065307,1722.0782559796,2870.13042663267
450,1082.90830126519,1624.36245189779,2707.27075316298
500,1027.82472770183,1541.73709155275,2569.56181925458
550,980.457217877333,1470.685826816,2451.14304469333
600,939.161111718735,1408.7416675781,2347.90277929684
650,902.743950979419,1354.11592646913,2256.85987744855
700,870.317246821155,1305.47587023173,2175.79311705289
750,841.20361188846,1261.80541783269,2103.00902972115
800,814.876369381605,1222.31455407241,2037.19092345401
850,790.919017429449,1186.37852614417,1977.29754357362
900,768.997268252931,1153.4959023794,1922.49317063233
950,748.839297729646,1123.25894659447,1872.09824432411
1000,730.2215003296,1095.3322504944,1825.553750824
1050,712.958023177752,1069.43703476663,1782.39505794438
1100,696.892948844955,1045.33942326743,1742.23237211239
1150,681.894369465709,1022.84155419856,1704.73592366427
1200,667.849834160586,1001.77475124088,1669.62458540146
1250,654.662808839225,981.994213258838,1636.65702209806
1300,642.249892659316,963.374838988974,1605.62473164829
1350,630.538607163964,945.807910745946,1576.34651790991
1400,619.46562387522,929.198435812829,1548.66405968805
1450,608.9753311571,913.46299673565,1522.43832789275
1500,599.018666180806,898.527999271209,1497.54666545202
