,energy,sgm,spech,specl,sgmr1,sgmpitch,pgm,specgamma,resolution,dispersion,
,eV,,mm,mm,mm,deg,,deg,meV,meV/pixel,
Ca L-edge,350,SVLS1,1867.8008,141018.1268,1867.8058,2.287,VPG1,12,14.08,1.71,
,,,,,,,,20,16.55,2.69,
,,,,,,,,30,19.45,3.91,
,,,,,,,VPG2,12,10.23,1.71,
,,,,,,,,20,11.32,2.69,
,,,,,,,,30,12.91,3.91,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SVLS2,,,,,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
Ti L-edge (Ru M-edge),458,SVLS1,1540,12999.3,2053.7,2.285,VPG1,12,,,
,,,,,,,,20,24.2,4.51974,
,,,,,,,,30,29,6.61388,
,,,,,,,VPG2,12,,,
,,,,,,,,20,20,4.39,XCAM
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SLVS2,,,,,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
V L-edge,512,SVLS1,1418.45,12566.354,2131.985,2.2915,VPG1,12,25.2056,3.6008,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,21.2,3.67,
,,,,,,,,20,23.3,5.77,
,,,,,,,,30,27.5,8.38,
,,,,,,,,40,30.31,10.75,
,,,,,,,VPG3,12,18.54,3.65,
,,,,,,,,20,20.86,5.78,
,,,,,,,,30,24.79,8.39,
,,SVLS2,2043.59,14240.026,1797.87,2.326,VPG1,12,,,
,,,,,,,,20,20.22,3.37,XCAM
,,,,,,,,30,,,
,,,,,,,VPG2,12,17.96,2.21,
,,,,,,,,20,19.83,3.48,
,,,,,,,,20,15.165,3.37,XCAM
,,,,,,,,30,22.33,5.03,
,,,,,,,,40,,,
,,,,,,,VPG3,12,15.68,2.19,
,,,,,,,,20,16.6,3.46,
,,,,,,,,30,18.6,5.02,
O K-edge,532,SVLS1,1383.282,12424,2164.98,2.297,VPG1,12,29.16,3.97,
,,,,,,,,20,32.5,6.36,
,,,,,,,,30,36.42,9.04,
,,,,,,,VPG2,12,23.28394,3.94643,
,,,,,,,,20,26.52703,6.02887,
,,,,,,,,30,31.90988,8.69479,
,,,,,,,VPG3,12,18.12,3.95311,
,,,,,,,,20,21.02,6.21984,
,,,,,,,,30,24.96,9.02464,
,,SLVS2,1970.5,13991.0388,1797.997,2.304,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,17.66,2.27,
,,,,,,,,20,19.3,3.47,
,,,,,,,,30,21.8,5.12,
,,,,,,,VPG3,12,13.83,2.37359,
,,,,,,,,20,,,
,,,,,,,,30,,,
Cr L3-edge,574.1,SVLS1,1309.1,12153.56,2218,2.294,VPG1,12,,,
,,,,,,,,20,34.41265,6.88253,
,,,,,,,,30,,,
,,,,,,,VPG2,12,29.84,4.55,
,,,,,,,,20,32.56,7.22,
,,,,,,,,30,36.12,10.5,
,,,,,,,VPG3,12,26.32,4.53,
,,,,,,,,20,29.55,7.19,
,,,,,,,,30,32.65,10.5,
,,SLVS2,1868.99,13704.0532,1848.98,2.292,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,25.07,2.72,
,,,,,,,,20,26.08,4.32,
,,,,,,,,30,28.28,6.3,
,,,,,,,VPG3,12,20.95,2.7,
,,,,,,,,20,23.75,4.28,
,,,,,,,,30,25.16,6.26,
Mn L3-edge,641,SVLS1,1215.8,11813.563,2288.383,2.294,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,36.17,5.54,
,,,,,,,,20,38.15,8.81,
,,,,,,,,30,42.62,12.8,
,,,,,,,VPG3,12,32.8,5.55,
,,,,,,,,20,36.69,8.8,
,,,,,,,,30,40.06,12.8,
,,SLVS2,1735.99,13345.9988,1915.895,2.306,VPG1,12,,,SGMroll=0
,,,,,,2.294,,20,,,SGMroll=-4.5
,,,,,,,,30,,,
,,,,,,,VPG2,12,21.7,3.19,
,,,,,,,,20,24.3,4.86,
,,,,,,,,30,27.6,7.17,
,,,,,,,VPG3,12,27.09,3.26,
