E	alpha	r1	L	H	gamma
eV	deg	mm	mm	mm	deg
270	88.0	1427.483	14346.181	2079.760	38.807
270	88.1	1353.903	14031.549	2018.260	35.330
270	88.2	1280.465	13725.123	1958.904	32.586
270	88.3	1207.184	13426.438	1901.574	30.368
270	88.4	1134.074	13135.062	1846.160	28.536
271	88.0	1429.482	14330.915	2074.273	38.683
271	88.1	1355.796	14016.670	2012.934	35.227
271	88.2	1282.252	13710.606	1953.733	32.498
271	88.3	1208.864	13412.260	1896.550	30.291
271	88.4	1135.649	13121.201	1841.276	28.468
272	88.0	1431.476	14315.717	2068.821	38.561
272	88.1	1357.683	14001.858	2007.643	35.124
272	88.2	1284.033	13696.156	1948.595	32.410
272	88.3	1210.541	13398.147	1891.558	30.215
272	88.4	1137.221	13107.404	1836.424	28.400
273	88.0	1433.465	14300.588	2063.404	38.439
273	88.1	1359.565	13987.114	2002.385	35.023
273	88.2	1285.809	13681.771	1943.489	32.324
273	88.3	1212.212	13384.099	1886.598	30.139
273	88.4	1138.787	13093.671	1831.602	28.333
274	88.0	1435.447	14285.527	2058.021	38.318
274	88.1	1361.442	13972.435	1997.161	34.922
274	88.2	1287.581	13667.451	1938.416	32.237
274	88.3	1213.878	13370.114	1881.669	30.063
274	88.4	1140.349	13080.000	1826.812	28.266
275	88.0	1437.424	14270.533	2052.672	38.198
275	88.1	1363.314	13957.823	1991.970	34.822
275	88.2	1289.347	13653.196	1933.375	32.152
275	88.3	1215.540	13356.193	1876.772	29.989
275	88.4	1141.907	13066.392	1822.051	28.199
276	88.0	1439.396	14255.606	2047.356	38.079
276	88.1	1365.180	13943.277	1986.811	34.723
276	88.2	1291.109	13639.005	1928.366	32.067
276	88.3	1217.197	13342.335	1871.906	29.914
276	88.4	1143.461	13052.846	1817.322	28.133
277	88.0	1441.362	14240.746	2042.074	37.961
277	88.1	1367.041	13928.795	1981.685	34.624
277	88.2	1292.865	13624.879	1923.389	31.982
277	88.3	1218.850	13328.540	1867.070	29.840
277	88.4	1145.010	13039.361	1812.622	28.067
278	88.0	1443.322	14225.951	2036.824	37.844
278	88.1	1368.897	13914.378	1976.591	34.526
278	88.2	1294.617	13610.815	1918.443	31.898
278	88.3	1220.498	13314.807	1862.265	29.767
278	88.4	1146.554	13025.937	1807.952	28.002
279	88.0	1445.277	14211.222	2031.607	37.727
279	88.1	1370.747	13900.026	1971.528	34.428
279	88.2	1296.363	13596.814	1913.527	31.815
279	88.3	1222.141	13301.136	1857.490	29.694
279	88.4	1148.094	13012.574	1803.311	27.937
280	87.9	1521.993	14515.828	2088.543	41.862
280	88.0	1447.227	14196.557	2026.422	37.611
280	88.1	1372.593	13885.736	1966.497	34.332
280	88.2	1298.105	13582.876	1908.643	31.732
280	88.3	1223.779	13287.526	1852.745	29.622
280	88.4	1149.630	12999.271	1798.699	27.873
281	87.9	1524.041	14500.829	2083.230	41.721
281	88.0	1449.171	14181.958	2021.270	37.496
281	88.1	1374.433	13871.510	1961.497	34.236
281	88.2	1299.842	13569.000	1903.788	31.650
281	88.3	1225.413	13273.977	1848.030	29.550
281	88.4	1151.162	12986.028	1794.116	27.809
282	87.9	1526.084	14485.894	2077.949	41.580
282	88.0	1451.110	14167.422	2016.149	37.382
282	88.1	1376.268	13857.347	1956.528	34.140
282	88.2	1301.574	13555.185	1898.964	31.568
282	88.3	1227.043	13260.488	1843.343	29.478
282	88.4	1152.689	12972.845	1789.562	27.745
283	87.9	1528.122	14471.025	2072.701	41.440
